selected_count,selected_rate,precision,recall,f1,operating_point,threshold_value,strategy,target
25285,0.6321408035200881,0.6089381055962033,0.974493670886076,0.7495192892783255,score threshold,0.116,raw cri probability,y_cri_high
25285,0.6321408035200881,0.6089381055962033,0.974493670886076,0.7495192892783255,score threshold,0.117,raw cri probability,y_cri_high
25285,0.6321408035200881,0.6089381055962033,0.974493670886076,0.7495192892783255,score threshold,0.11800000000000001,raw cri probability,y_cri_high
25283,0.6320908022700568,0.6089862753628921,0.974493670886076,0.7495557773288222,score threshold,0.11900000000000001,raw cri probability,y_cri_high
25283,0.6320908022700568,0.6089862753628921,0.974493670886076,0.7495557773288222,score threshold,0.12000000000000001,raw cri probability,y_cri_high
25283,0.6320908022700568,0.6089862753628921,0.974493670886076,0.7495557773288222,score threshold,0.121,raw cri probability,y_cri_high
25283,0.6320908022700568,0.6089862753628921,0.974493670886076,0.7495557773288222,score threshold,0.122,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.123,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.124,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.125,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.126,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.127,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.128,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.129,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.13,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.131,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.132,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.133,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.134,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.135,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.136,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.137,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.138,raw cri probability,y_cri_high
23770,0.5942648566214155,0.6401766933108961,0.9631012658227848,0.7691180187010361,score threshold,0.139,raw cri probability,y_cri_high
