algorithm,n_gen,n_eval,hypervolume
NSGA-III,187,18700,0.35101697508297947
NSGA-III,188,18800,0.3505043912078858
NSGA-III,189,18900,0.3506182803986261
NSGA-III,190,19000,0.3505551078947258
NSGA-III,191,19100,0.3501722997226386
NSGA-III,192,19200,0.35038208142936494
NSGA-III,193,19300,0.34922888403106456
NSGA-III,194,19400,0.3509255986299197
NSGA-III,195,19500,0.3510435450601774
NSGA-III,196,19600,0.35086033488318813
NSGA-III,197,19700,0.3505802299685501
NSGA-III,198,19800,0.35070405155019546
NSGA-III,199,19900,0.34822750730235574
NSGA-III,200,20000,0.3484593766943986
R-NSGA-II,1,100,0.2697164430201158
R-NSGA-II,2,200,0.2773981790661193
R-NSGA-II,3,300,0.29979929287011187
R-NSGA-II,4,400,0.3084027036668526
R-NSGA-II,5,500,0.3185566742604734
R-NSGA-II,6,600,0.3276040887671773
R-NSGA-II,7,700,0.3317331701810028
R-NSGA-II,8,800,0.33571763439222635
R-NSGA-II,9,900,0.34034793765191795
R-NSGA-II,10,1000,0.33767306557211274
R-NSGA-II,11,1100,0.3355212979055814
R-NSGA-II,12,1200,0.3337799328514017
R-NSGA-II,13,1300,0.333863667606753
R-NSGA-II,14,1400,0.32529912876986394
R-NSGA-II,15,1500,0.32457654765435573
R-NSGA-II,16,1600,0.32373980350446513
R-NSGA-II,17,1700,0.31776542384621
R-NSGA-II,18,1800,0.3161502928239619
R-NSGA-II,19,1900,0.31364677952248143
R-NSGA-II,20,2000,0.3125717912309264
R-NSGA-II,21,2100,0.312165774881977
R-NSGA-II,22,2200,0.31217706808867485
R-NSGA-II,23,2300,0.31221295270729205
R-NSGA-II,24,2400,0.31248500856245215
R-NSGA-II,25,2500,0.3124862978141672
R-NSGA-II,26,2600,0.31257375205390153
R-NSGA-II,27,2700,0.3126303414017175
R-NSGA-II,28,2800,0.3126304162367563
R-NSGA-II,29,2900,0.3130081963469174
R-NSGA-II,30,3000,0.3132821282542626
